LanticGranulated Sugar2 kg,https://www.loblaws.ca/granulated-sugar/p/20145033_EA
KraftOriginal Macaroni & Cheese225 g,https://www.loblaws.ca/original-macaroni-cheese/p/20087831_EA
No NamePure White Vinegar 4 l,https://www.loblaws.ca/pure-white-vinegar/p/20102756_EA
HeinzTomato Ketchup1 l,https://www.loblaws.ca/tomato-ketchup/p/20069080_EA
KraftSmooth Peanut Butter1 kg,https://www.loblaws.ca/smooth-peanut-butter/p/20039581001_EA
"HellmannsMayonnaise, Gluten-free890 ml",https://www.loblaws.ca/mayonnaise-gluten-free/p/20618579001_EA
No NameLarge Marshmallows400 g,https://www.loblaws.ca/large-marshmallows/p/20304672001_EA
Mr NoodlesInstant Noodles Chicken Simulated Flavour85 g,https://www.loblaws.ca/instant-noodles-chicken-simulated-flavour/p/20322658001_EA
Green GiantPeaches & Cream Corn341 ml,https://www.loblaws.ca/peaches-cream-corn/p/21021485_EA
No NameBlack Beans540 ml,https://www.loblaws.ca/black-beans/p/20325921005_EA
President's ChoiceWhite Cheddar Deluxe Macaroni & Cheese Dinner200 g,https://www.loblaws.ca/white-cheddar-deluxe-macaroni-cheese-dinner/p/20889584_EA
General MillsCheerios Cereal Honey Nut Family Size725 g,https://www.loblaws.ca/cheerios-cereal-honey-nut-family-size/p/21103495_EA
President's Choice100% Pure Maple Syrup (Amber)500 ml,https://www.loblaws.ca/100-pure-maple-syrup-amber/p/20049221_EA
Campbell'sCondensed Soup Tomato284 ml,https://www.loblaws.ca/condensed-soup-tomato/p/20176214001_EA
Campbell'sCream of Mushroom Condensed Soup284 ml,https://www.loblaws.ca/cream-of-mushroom-condensed-soup/p/20176214004_EA
No NameChickpeas540 ml,https://www.loblaws.ca/chickpeas/p/20325921001_EA
No NameTomato Paste156 ml,https://www.loblaws.ca/tomato-paste/p/20118094_EA
LanticNatural Old Fashioned Brown Sugar1 kg,https://www.loblaws.ca/natural-old-fashioned-brown-sugar/p/20169394_EA
KraftMiracle Whip Original Spread890 ml,https://www.loblaws.ca/miracle-whip-original-spread/p/20298681001_EA
No NameFlaked Light Tuna170 g,https://www.loblaws.ca/flaked-light-tuna/p/20521648_EA
FrenchsClassic Yellow Mustard400 ml,https://www.loblaws.ca/classic-yellow-mustard/p/20083238_EA
"Green GiantCorn Niblets, Whole Kernel341 ml",https://www.loblaws.ca/corn-niblets-whole-kernel/p/21021224_EA
No NameYellow Mustard400 ml,https://www.loblaws.ca/yellow-mustard/p/20162036_EA
No NameDiced Tomatoes796 ml,https://www.loblaws.ca/diced-tomatoes/p/20600787_EA
Frenchs100% Canadian Tomato Ketchup1 l,https://www.loblaws.ca/100-canadian-tomato-ketchup/p/20835951_EA
No NameElbow Macaroni Pasta900 g,https://www.loblaws.ca/elbow-macaroni-pasta/p/20315613003_EA
HeinzCondiment Pack375 ml,https://www.loblaws.ca/condiment-pack/p/20552158_EA
No NameDark Red Kidney Beans540 ml,https://www.loblaws.ca/dark-red-kidney-beans/p/20554593_EA
TostitosSalsa Con Queso 394ml394 ml,https://www.loblaws.ca/salsa-con-queso-394ml/p/20674094_EA
Mr NoodlesInstant Noodles Beef Simulated Flavour85 g,https://www.loblaws.ca/instant-noodles-beef-simulated-flavour/p/20322658004_EA
No NameChicken Broth900 ml,https://www.loblaws.ca/chicken-broth/p/21189611_EA
"No NameBreadsticks and Cheese, Processed Cheese Product3x29.0 g",https://www.loblaws.ca/breadsticks-and-cheese-processed-cheese-product/p/20889881_EA
No NameReduced Sodium Chicken Broth900 ml,https://www.loblaws.ca/reduced-sodium-chicken-broth/p/21189610_EA
No NameChunk Light Tuna170 g,https://www.loblaws.ca/chunk-light-tuna/p/20521647_EA
No Name100% Pure Canola Oil3 l,https://www.loblaws.ca/100-pure-canola-oil/p/20028656_EA
NutellaHazelnut Chocolate Spread725 g,https://www.loblaws.ca/hazelnut-chocolate-spread/p/20436105_EA
HeinzTomato Ketchup750 ml,https://www.loblaws.ca/tomato-ketchup/p/20115102001_EA
General MillsHoney Nut Cheerios430 g,https://www.loblaws.ca/honey-nut-cheerios/p/21104047_EA
"Clover LeafFlaked Light Tuna, Skip Jack In Water170 g",https://www.loblaws.ca/flaked-light-tuna-skip-jack-in-water/p/20573583_EA
President's ChoiceGarlic and Butter Flavour Sourdough Style Croutons140 g,https://www.loblaws.ca/garlic-and-butter-flavour-sourdough-style-croutons/p/20796248001_EA
Old El PasoHard & Soft Taco Dinner Kit340 g,https://www.loblaws.ca/hard-soft-taco-dinner-kit/p/20795534_EA
President's ChoiceCaesar Flavour Sourdough Style Croutons140 g,https://www.loblaws.ca/caesar-flavour-sourdough-style-croutons/p/20796248002_EA
General MillsCheerios Cereal Multi-Grain Family Size585 g,https://www.loblaws.ca/cheerios-cereal-multi-grain-family-size/p/21103503_EA
Arm & HammerBaking Soda500 g,https://www.loblaws.ca/baking-soda/p/20063491001_EA
RoosterScented Jasmine Rice 8 kg,https://www.loblaws.ca/scented-jasmine-rice/p/20121871_EA
"PrimoPizza Squeeze, Original375 ml",https://www.loblaws.ca/pizza-squeeze-original/p/20097909001_EA
Green GiantCreamy Style Sweet Corn398 ml,https://www.loblaws.ca/creamy-style-sweet-corn/p/21021222_EA
No NameDiced Tomatoes with Herbs and Spices796 ml,https://www.loblaws.ca/diced-tomatoes-with-herbs-and-spices/p/20326215005_EA
No NameGarlic Powder150 g,https://www.loblaws.ca/garlic-powder/p/20617758_EA
General MillsCinnamon Toast Crunch Cereal Family Size591 g,https://www.loblaws.ca/cinnamon-toast-crunch-cereal-family-size/p/21103492_EA
KelloggsRice Krispies Cinnamon Cereal320 g,https://www.loblaws.ca/rice-krispies-cinnamon-cereal/p/21427413_EA
SkinnygirlHoney Dijon237 ml,https://www.loblaws.ca/honey-dijon/p/21448144_EA
DianaSauce Rib & Chicken500 ml,https://www.loblaws.ca/sauce-rib-chicken/p/21184618_EA
DelverdeLinguine450 g,https://www.loblaws.ca/linguine/p/20317975005_EA
Clover LeafSardines Boneless Fillets Olive Oil106 g,https://www.loblaws.ca/sardines-boneless-fillets-olive-oil/p/21464672_EA
"PamCooking Spray, Butter Flavour141 g",https://www.loblaws.ca/cooking-spray-butter-flavour/p/20315275005_EA
No NameFruit Cocktail In Water398 ml,https://www.loblaws.ca/fruit-cocktail-in-water/p/21409686_EA
"Cream of WheatCream Of Wheat, Instant Original336 g",https://www.loblaws.ca/cream-of-wheat-instant-original/p/20698130_EA
